"deg","degree"
"det","det"
"dim","dimension"
"hom","hom"
"Hom","hom"
"ker","kernel"
"Tr","trace"
"tr","trace"
"log","log"
"ln","ln"
"lg","log base 10"
"exp","exp"
"expt","exp"
"gcd","gcd"
"lcm","lcm"
"arg","arg"
"im","im"
"re","re"
"inf","inf"
"lim","limit"
"lim inf","liminf"
"lim sup","limsup"
"max","max"
"min","min"
"sup","sup"
"injlim","colimit"
"inj lim","colimit"
"projlim","limit"
"proj lim","limit"
"mod","mod"
"Pr","probability"
"cosh","hyperbolic cosine"
"coth","hyperbolic cotangent"
"csch","hyperbolic cosecant"
"sech","hyperbolic secant"
"sinh","hyperbolic sine"
"tanh","hyperbolic tangent"
"arcosh","area hyperbolic cosine"
"arccosh","area hyperbolic cosine"
"arcoth","area hyperbolic cotangent"
"arccoth","area hyperbolic cotangent"
"arcsch","area hyperbolic cosecant"
"arccsch","area hyperbolic cosecant"
"arsech","area hyperbolic secant"
"arcsech","area hyperbolic secant"
"arsinh","area hyperbolic sine"
"arcsinh","area hyperbolic sine"
"artanh","area hyperbolic tangent"
"arctanh","area hyperbolic tangent"
"cos","cosine"
"cosine","cosine"
"cot","cotangent"
"csc","cosecant"
"sec","secant"
"sin","sine"
"sine","sine"
"tan","tangent"
"arccos","arc cosine"
"arccot","arc cotangent"
"arccsc","arc cosecant"
"arcsec","arc secant"
"arcsin","arc sine"
"arctan","arc tangent"
