deg,degree,grados
det,det,determinante
dim,dimension,dimensión
hom,hom,homomorfismo
Hom,hom,homomorfismo
ker,kernel,kernel
Tr,trace,traza
tr,trace,traza
log,log,logaritmo
ln,ln,logaritmo neperiano
lg,log base 10,logaritmo base 10
exp,exp,exponente
expt,exp,exponente
gcd,gcd,MCD
lcm,lcm,mcm
arg,arg,argumento
im,im,parte imaginaria
re,re,residuo
inf,inf,extremo inferior
lim,limit,límite
lim inf,liminf,límite inferior
lim sup,limsup,límite superior
max,max,máximo
min,min,mínimo
sup,sup,superior
injlim,colimit,límite directo
inj lim,colimit,límite directo
projlim,limit,límite inverso
proj lim,limit,límite inverso
mod,mod,módulo
Pr,probability,probabilidad
cosh,hyperbolic cosine,coseno hiperbólico
coth,hyperbolic cotangent,cotangente hiperbólica
csch,hyperbolic cosecant,cosecante hiperbólica
sech,hyperbolic secant,secante hiperbólica
sinh,hyperbolic sine,seno hiperbólico
tanh,hyperbolic tangent,tangente hiperbólica
arcosh,area hyperbolic cosine,area coseno hiperbólico
arccosh,area hyperbolic cosine,area coseno hiperbólico
arcoth,area hyperbolic cotangent,area cotangente hiperbólica
arccoth,area hyperbolic cotangent,area cotangente hiperbólica
arcsch,area hyperbolic cosecant,area cosecante hiperbólica
arccsch,area hyperbolic cosecant,area cosecante hiperbólica
arsech,area hyperbolic secant,area secante hiperbólica
arcsech,area hyperbolic secant,area secante hiperbólica
arsinh,area hyperbolic sine,area seno hiperbólico
arcsinh,area hyperbolic sine,area seno hiperbólico
artanh,area hyperbolic tangent,area tangente hiperbólica
arctanh,area hyperbolic tangent,area tangente hiperbólica
cos,cosine,coseno
cosine,cosine,coseno
cot,cotangent,cotangente
csc,cosecant,cosecante
sec,secant,secant
sin,sine,seno
sine,sine,seno
tan,tangent,tangente
arccos,arc cosine,arco coseno
arccot,arc cotangent,arco cotangente
arccsc,arc cosecant,arco cosecante
arcsec,arc secant,arco secante
arcsin,arc sine,arco seno
arctan,arc tangent,arco tangente
