"W","watts"
"w","watts"
"kw","kilowatts"
"kW","kilowatts"
"mw","milliwatts"
"mW","milliwatts"
"kwh","kilowatt hours"
"kWh","kilowatt hours"
"J","joules"
"N","Newton"
"A","amperes"
"V","volts"
"µΩ","microohm"
"mΩ","milliohm"
"Ω","ohm"
"Ohm","ohm"
"kΩ","kilohm"
"KΩ","kilohm"
"MΩ","megaohm"
"GΩ","gigaohm"
"mm","millimeters"
"cm","centimeters"
"m","meters"
"km","kilometers"
"ft","feet"
"ft.","feet"
"in","inches"
"in.","inches"
"mi","miles"
"mi.","miles"
"yd","yards"
"yd.","yards"
"n.m.","nautical miles"
"b","bits"
"B","bytes"
"KB","kilobytes"
"MB","megabytes"
"GB","gigabytes"
"TB","terabytes"
"doz","dozen"
"doz.","dozen"
"sq","square"
"sq.","square"
"ha","hectare"
"ns","nanoseconds"
"µs","microseconds"
"ms","milliseconds"
"s","seconds"
"min","minutes"
"h","hours"
"hr","hours"
"kt","knot"
"kt.","knot"
"mph","miles per hour"
"rpm","revolutions per minute"
"kmh","kilometers per hour"
"F","Fahrenheit"
"F.","Fahrenheit"
"°F","Fahrenheit"
"C","Centigrade"
"°C","Centigrade"
"K","Kelvin"
"°K","Kelvin"
"bbl.","barrels"
"bbl","barrels"
"cu","cubics"
"cu.","cubics"
"fl. oz.","fluid ounces"
"gal","gallons"
"gal.","gallons"
"pt","pints"
"pt.","pints"
"qt","quarts"
"qt.","quarts"
"tbsp","tablespoons"
"tbsp.","tablespoons"
"tsp","teaspoons"
"tsp.","teaspoons"
"cc","cubic centimeters"
"kl","kiloliters"
"l","liters"
"ml","milliliters"
"lb","pounds"
"lb.","pounds"
"LT","long tons"
"L.T.","long tons"
"oz","ounces"
"oz.","ounces"
"g","grams"
"gr","grams"
"kg","kilograms"
"mg","milligrams"
"µg","micrograms"
"t","tons"
"T","tons"
